state,year,quarter,genericind,drugtype,imprx,adjmedamt,unadjmedamt,percap_rx,percap_adjmedamt,percap_unadjmedamt,futurerevision
AK,2010,all,all,all,3087,331924.6291,893247.02,40.72862447094204,4379.278772682417,11785.13846367608,no
AK,2010,all,all,bup,2964,254889.9983,784527.28,39.10581241719216,3362.915135134355,10350.7343616228,no
AK,2010,all,all,naloxone,13,29893.4061,29962.17,.1715167211280358,394.401461355448,395.3087043292923,no
AK,2010,all,all,naltrexone,110,47141.22469999999,78757.56999999999,1.451295332621841,621.9621761926131,1039.095397723981,no
AK,2011,all,all,all,3918,564300.8523017338,1284842.16,47.22782861831028,6802.119433811308,15487.57155029596,no
AK,2011,all,all,bup,3740,439436.1433417337,1087869.9,45.08220495979592,5296.992053709706,13113.25502711034,no
AK,2011,all,all,naloxone,33,63559.07616,64257.79000000001,.397784161409964,766.1452669787162,774.5676093699266,no
AK,2011,all,all,naltrexone,145,61305.63279999999,132714.47,1.747839497104388,738.9821131228844,1599.748913815692,no
AK,2012,all,all,all,4591,545022.9907004226,1417395.52,52.10903305824624,6186.151391834579,16087.80440171861,no
AK,2012,all,all,bup,4304,453758.1137004225,1249007.24,48.85150910100018,5150.271519769718,14176.55403161597,no
AK,2012,all,all,naloxone,21,22821.6408,25148.76,.2383554115058094,259.0315040057985,285.4449066028972,no
AK,2012,all,all,naltrexone,266,68443.23619999998,143239.52,3.019168545740253,776.8483680590623,1625.805463499744,no
AK,2013,all,all,all,5613,1119276.625811922,1655567.04,66.49102654702803,13258.83695712248,19611.67860449397,no
AK,2013,all,all,bup,5081,975552.3946969218,1434083.44,60.18900870932646,11556.29434773023,16988.00642788051,no
AK,2013,all,all,naloxone,36,51967.99381500001,52535.56,.4264523348820611,615.6075639317575,622.3308951760171,no
AK,2013,all,all,naltrexone,496,91756.23730000001,168948.04,5.87556550281951,1086.935045460485,2001.34128143744,no
AK,2014,all,all,all,6897,1275186.4577,1589843.19,90.043802231573,16648.20026178323,20756.20208490259,no
AK,2014,all,all,bup,6299,1160474.3941,1414521.33,82.23661160746387,15150.57660390676,18467.28706551568,no
AK,2014,all,all,naloxone,17,809.1547,1022.86,.2219435461703264,10.5639213834345,13.35395150798706,no
AK,2014,all,all,naltrexone,581,113902.9089,174299,7.585247077938801,1487.059736493037,2275.561067878924,no
AK,2015,all,all,all,7280,1237400.12972,1664911.56,86.79045122484496,14751.99390165941,19848.68482717864,no
AK,2015,all,all,bup,6422,1100809.1955,1385699.8,76.56157661620252,13123.58884476697,16519.98776156283,no
AK,2015,all,all,naloxone,36,6290.93572,6494.62,.4291835500129695,74.99905903369437,77.4273352107009,no
AK,2015,all,all,naltrexone,822,130299.9985,272717.14,9.799691058629472,1553.405997858739,3251.269730405112,no
AK,2016,all,all,all,11630,1955451.65745,3156545.77,109.3711014724367,18389.5014317634,29684.85706905079,no
AK,2016,all,all,bup,9723,1502671.6677,2127249.62,91.4372501819864,14131.45790608533,20005.12760500622,no
AK,2016,all,all,naloxone,165,19638.39955,22690.33,1.551696624501466,184.6838684384612,213.3848998171173,no
AK,2016,all,all,naltrexone,1742,433141.5902,1006605.82,16.38215466594881,4073.35965723962,9466.344564227455,no
AK,2017,all,all,all,21348,4380257.929996,6933875.859999999,172.0670177176114,35305.31754020655,55887.73376683238,no
AK,2017,all,all,bup,16607,2949262.0719,3665341.55,133.8540829696633,23771.3476287941,29543.01992809383,no
AK,2017,all,all,naloxone,532,40340.370106,63509.7,4.287973272707947,325.1474226046516,511.8945416498119,no
